Product Handle,Product Title,Product Description,Product Status,Product Thumbnail,Product Tag 1,Category Name,Parent Category Name,Variant Title,Variant Price INR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Rating,Product Review Count,Product Warranty,Product Returns Policy
bamboo-toothbrush-family-pack,Bamboo Toothbrush Family Pack,Soft-bristle bamboo toothbrushes for everyday oral care with compostable handles.,published,https://placehold.co/1000x1250.png?text=Bamboo+Toothbrush+Family+Pack,Personal Care,Oral Care,Personal Care,Pack of 4,499,6,Pack Size,Pack of 4,4.6,214,30-Day Quality Guarantee,Non-returnable (hygiene item)
bamboo-toothbrush-family-pack,Bamboo Toothbrush Family Pack,Soft-bristle bamboo toothbrushes for everyday oral care with compostable handles.,published,https://placehold.co/1000x1250.png?text=Bamboo+Toothbrush+Family+Pack,Personal Care,Oral Care,Personal Care,Pack of 8,899,10,Pack Size,Pack of 8,4.6,214,30-Day Quality Guarantee,Non-returnable (hygiene item)
bamboo-toothbrush-family-pack,Bamboo Toothbrush Family Pack,Soft-bristle bamboo toothbrushes for everyday oral care with compostable handles.,published,https://placehold.co/1000x1250.png?text=Bamboo+Toothbrush+Family+Pack,Personal Care,Oral Care,Personal Care,Pack of 12,1299,14,Pack Size,Pack of 12,4.6,214,30-Day Quality Guarantee,Non-returnable (hygiene item)
stainless-steel-insulated-bottle,Stainless Steel Insulated Bottle,"Double-wall insulated bottle that keeps drinks hot or cold during work, travel, and workouts.",published,https://placehold.co/1000x1250.png?text=Stainless+Steel+Insulated+Bottle,Reusable,Drinkware,Kitchen,500 ml,899,10,Capacity,500 ml,4.7,389,1 Year Warranty,10-day easy returns
stainless-steel-insulated-bottle,Stainless Steel Insulated Bottle,"Double-wall insulated bottle that keeps drinks hot or cold during work, travel, and workouts.",published,https://placehold.co/1000x1250.png?text=Stainless+Steel+Insulated+Bottle,Reusable,Drinkware,Kitchen,750 ml,1199,13,Capacity,750 ml,4.7,389,1 Year Warranty,10-day easy returns
stainless-steel-insulated-bottle,Stainless Steel Insulated Bottle,"Double-wall insulated bottle that keeps drinks hot or cold during work, travel, and workouts.",published,https://placehold.co/1000x1250.png?text=Stainless+Steel+Insulated+Bottle,Reusable,Drinkware,Kitchen,1 L,1499,17,Capacity,1 L,4.7,389,1 Year Warranty,10-day easy returns
organic-cotton-everyday-tote,Organic Cotton Everyday Tote,"Durable organic cotton tote bag for grocery runs, office carry, and daily errands.",published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Everyday+Tote,Bags,Shopping Bags,Lifestyle,Natural,599,7,Color,Natural,4.5,156,6-Month Warranty,10-day easy returns
organic-cotton-everyday-tote,Organic Cotton Everyday Tote,"Durable organic cotton tote bag for grocery runs, office carry, and daily errands.",published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Everyday+Tote,Bags,Shopping Bags,Lifestyle,Olive Green,649,7,Color,Olive Green,4.5,156,6-Month Warranty,10-day easy returns
organic-cotton-everyday-tote,Organic Cotton Everyday Tote,"Durable organic cotton tote bag for grocery runs, office carry, and daily errands.",published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Everyday+Tote,Bags,Shopping Bags,Lifestyle,Charcoal,649,7,Color,Charcoal,4.5,156,6-Month Warranty,10-day easy returns
compostable-trash-bag-roll,Compostable Trash Bag Roll,Plant-based compostable trash bags designed for kitchen waste and daily home cleanup.,published,https://placehold.co/1000x1250.png?text=Compostable+Trash+Bag+Roll,Cleaning,Waste Management,Cleaning,Small 10 L,399,4,Size,Small 10 L,4.3,98,30-Day Quality Guarantee,7-day easy returns
compostable-trash-bag-roll,Compostable Trash Bag Roll,Plant-based compostable trash bags designed for kitchen waste and daily home cleanup.,published,https://placehold.co/1000x1250.png?text=Compostable+Trash+Bag+Roll,Cleaning,Waste Management,Cleaning,Medium 30 L,699,8,Size,Medium 30 L,4.3,98,30-Day Quality Guarantee,7-day easy returns
compostable-trash-bag-roll,Compostable Trash Bag Roll,Plant-based compostable trash bags designed for kitchen waste and daily home cleanup.,published,https://placehold.co/1000x1250.png?text=Compostable+Trash+Bag+Roll,Cleaning,Waste Management,Cleaning,Large 50 L,999,11,Size,Large 50 L,4.3,98,30-Day Quality Guarantee,7-day easy returns
beeswax-food-wrap-set,Beeswax Food Wrap Set,"Reusable beeswax wraps that replace plastic cling film for fruits, bowls, and lunch boxes.",published,https://placehold.co/1000x1250.png?text=Beeswax+Food+Wrap+Set,Kitchen,Food Storage,Kitchen,3-Piece Set,749,8,Set,3-Piece Set,4.6,172,6-Month Warranty,10-day easy returns
beeswax-food-wrap-set,Beeswax Food Wrap Set,"Reusable beeswax wraps that replace plastic cling film for fruits, bowls, and lunch boxes.",published,https://placehold.co/1000x1250.png?text=Beeswax+Food+Wrap+Set,Kitchen,Food Storage,Kitchen,6-Piece Set,1299,14,Set,6-Piece Set,4.6,172,6-Month Warranty,10-day easy returns
beeswax-food-wrap-set,Beeswax Food Wrap Set,"Reusable beeswax wraps that replace plastic cling film for fruits, bowls, and lunch boxes.",published,https://placehold.co/1000x1250.png?text=Beeswax+Food+Wrap+Set,Kitchen,Food Storage,Kitchen,Starter Bundle,1699,19,Set,Starter Bundle,4.6,172,6-Month Warranty,10-day easy returns
recycled-paper-notebook,Recycled Paper Notebook,"Minimal recycled paper notebook for notes, journaling, planning, and study.",published,https://placehold.co/1000x1250.png?text=Recycled+Paper+Notebook,Stationery,Notebooks,Office,A5 Ruled,349,4,Format,A5 Ruled,4.4,64,30-Day Quality Guarantee,7-day easy returns
recycled-paper-notebook,Recycled Paper Notebook,"Minimal recycled paper notebook for notes, journaling, planning, and study.",published,https://placehold.co/1000x1250.png?text=Recycled+Paper+Notebook,Stationery,Notebooks,Office,A5 Dotted,379,4,Format,A5 Dotted,4.4,64,30-Day Quality Guarantee,7-day easy returns
recycled-paper-notebook,Recycled Paper Notebook,"Minimal recycled paper notebook for notes, journaling, planning, and study.",published,https://placehold.co/1000x1250.png?text=Recycled+Paper+Notebook,Stationery,Notebooks,Office,A4 Plain,549,6,Format,A4 Plain,4.4,64,30-Day Quality Guarantee,7-day easy returns
coconut-coir-dish-scrubber,Coconut Coir Dish Scrubber,"Plastic-free coconut coir scrubber for dishes, pans, sinks, and kitchen surfaces.",published,https://placehold.co/1000x1250.png?text=Coconut+Coir+Dish+Scrubber,Cleaning,Kitchen Cleaning,Cleaning,Pack of 2,249,3,Pack Size,Pack of 2,4.2,88,30-Day Quality Guarantee,Non-returnable (hygiene item)
coconut-coir-dish-scrubber,Coconut Coir Dish Scrubber,"Plastic-free coconut coir scrubber for dishes, pans, sinks, and kitchen surfaces.",published,https://placehold.co/1000x1250.png?text=Coconut+Coir+Dish+Scrubber,Cleaning,Kitchen Cleaning,Cleaning,Pack of 4,449,5,Pack Size,Pack of 4,4.2,88,30-Day Quality Guarantee,Non-returnable (hygiene item)
coconut-coir-dish-scrubber,Coconut Coir Dish Scrubber,"Plastic-free coconut coir scrubber for dishes, pans, sinks, and kitchen surfaces.",published,https://placehold.co/1000x1250.png?text=Coconut+Coir+Dish+Scrubber,Cleaning,Kitchen Cleaning,Cleaning,Pack of 8,799,9,Pack Size,Pack of 8,4.2,88,30-Day Quality Guarantee,Non-returnable (hygiene item)
reusable-mesh-produce-bags,Reusable Mesh Produce Bags,"Lightweight washable mesh bags for fruits, vegetables, and bulk pantry shopping.",published,https://placehold.co/1000x1250.png?text=Reusable+Mesh+Produce+Bags,Reusable,Shopping Bags,Lifestyle,Pack of 5,499,6,Pack Size,Pack of 5,4.5,133,6-Month Warranty,10-day easy returns
reusable-mesh-produce-bags,Reusable Mesh Produce Bags,"Lightweight washable mesh bags for fruits, vegetables, and bulk pantry shopping.",published,https://placehold.co/1000x1250.png?text=Reusable+Mesh+Produce+Bags,Reusable,Shopping Bags,Lifestyle,Pack of 10,849,9,Pack Size,Pack of 10,4.5,133,6-Month Warranty,10-day easy returns
bamboo-travel-cutlery-kit,Bamboo Travel Cutlery Kit,"Portable bamboo spoon, fork, knife, straw, and pouch for travel and office lunches.",published,https://placehold.co/1000x1250.png?text=Bamboo+Travel+Cutlery+Kit,Travel,Cutlery,Kitchen,Standard Kit,599,7,Kit Type,Standard Kit,4.7,245,1 Year Warranty,10-day easy returns
bamboo-travel-cutlery-kit,Bamboo Travel Cutlery Kit,"Portable bamboo spoon, fork, knife, straw, and pouch for travel and office lunches.",published,https://placehold.co/1000x1250.png?text=Bamboo+Travel+Cutlery+Kit,Travel,Cutlery,Kitchen,Kit with Straw,699,8,Kit Type,Kit with Straw,4.7,245,1 Year Warranty,10-day easy returns
bamboo-travel-cutlery-kit,Bamboo Travel Cutlery Kit,"Portable bamboo spoon, fork, knife, straw, and pouch for travel and office lunches.",published,https://placehold.co/1000x1250.png?text=Bamboo+Travel+Cutlery+Kit,Travel,Cutlery,Kitchen,Family Kit,1499,17,Kit Type,Family Kit,4.7,245,1 Year Warranty,10-day easy returns
glass-meal-prep-container,Glass Meal Prep Container,"Borosilicate glass container with secure lid for meal prep, storage, and reheating.",published,https://placehold.co/1000x1250.png?text=Glass+Meal+Prep+Container,Kitchen,Food Storage,Kitchen,650 ml,699,8,Capacity,650 ml,4.6,201,1 Year Warranty,10-day easy returns
glass-meal-prep-container,Glass Meal Prep Container,"Borosilicate glass container with secure lid for meal prep, storage, and reheating.",published,https://placehold.co/1000x1250.png?text=Glass+Meal+Prep+Container,Kitchen,Food Storage,Kitchen,1 L,899,10,Capacity,1 L,4.6,201,1 Year Warranty,10-day easy returns
glass-meal-prep-container,Glass Meal Prep Container,"Borosilicate glass container with secure lid for meal prep, storage, and reheating.",published,https://placehold.co/1000x1250.png?text=Glass+Meal+Prep+Container,Kitchen,Food Storage,Kitchen,Set of 3,2199,24,Capacity,Set of 3,4.6,201,1 Year Warranty,10-day easy returns
plantable-seed-pencil-set,Plantable Seed Pencil Set,Writing pencils with seed capsules that can be planted after use.,published,https://placehold.co/1000x1250.png?text=Plantable+Seed+Pencil+Set,Stationery,Writing Tools,Office,Pack of 5,299,3,Pack Size,Pack of 5,4.4,76,30-Day Quality Guarantee,7-day easy returns
plantable-seed-pencil-set,Plantable Seed Pencil Set,Writing pencils with seed capsules that can be planted after use.,published,https://placehold.co/1000x1250.png?text=Plantable+Seed+Pencil+Set,Stationery,Writing Tools,Office,Pack of 10,499,6,Pack Size,Pack of 10,4.4,76,30-Day Quality Guarantee,7-day easy returns
plantable-seed-pencil-set,Plantable Seed Pencil Set,Writing pencils with seed capsules that can be planted after use.,published,https://placehold.co/1000x1250.png?text=Plantable+Seed+Pencil+Set,Stationery,Writing Tools,Office,Classroom Pack,1499,17,Pack Size,Classroom Pack,4.4,76,30-Day Quality Guarantee,7-day easy returns
natural-dish-soap-bar,Natural Dish Soap Bar,Low-waste dish soap bar made for grease-cutting kitchen cleaning without plastic bottles.,published,https://placehold.co/1000x1250.png?text=Natural+Dish+Soap+Bar,Cleaning,Kitchen Cleaning,Cleaning,Single Bar,249,3,Pack Size,Single Bar,4.3,91,30-Day Quality Guarantee,Non-returnable (hygiene item)
natural-dish-soap-bar,Natural Dish Soap Bar,Low-waste dish soap bar made for grease-cutting kitchen cleaning without plastic bottles.,published,https://placehold.co/1000x1250.png?text=Natural+Dish+Soap+Bar,Cleaning,Kitchen Cleaning,Cleaning,Pack of 3,649,7,Pack Size,Pack of 3,4.3,91,30-Day Quality Guarantee,Non-returnable (hygiene item)
natural-dish-soap-bar,Natural Dish Soap Bar,Low-waste dish soap bar made for grease-cutting kitchen cleaning without plastic bottles.,published,https://placehold.co/1000x1250.png?text=Natural+Dish+Soap+Bar,Cleaning,Kitchen Cleaning,Cleaning,Pack of 6,1199,13,Pack Size,Pack of 6,4.3,91,30-Day Quality Guarantee,Non-returnable (hygiene item)
eco-laundry-detergent-sheets,Eco Laundry Detergent Sheets,Pre-measured laundry detergent sheets that reduce plastic packaging and storage space.,published,https://placehold.co/1000x1250.png?text=Eco+Laundry+Detergent+Sheets,Laundry,Laundry Care,Cleaning,30 Loads,599,7,Loads,30 Loads,4.5,167,30-Day Quality Guarantee,7-day easy returns
eco-laundry-detergent-sheets,Eco Laundry Detergent Sheets,Pre-measured laundry detergent sheets that reduce plastic packaging and storage space.,published,https://placehold.co/1000x1250.png?text=Eco+Laundry+Detergent+Sheets,Laundry,Laundry Care,Cleaning,60 Loads,999,11,Loads,60 Loads,4.5,167,30-Day Quality Guarantee,7-day easy returns
eco-laundry-detergent-sheets,Eco Laundry Detergent Sheets,Pre-measured laundry detergent sheets that reduce plastic packaging and storage space.,published,https://placehold.co/1000x1250.png?text=Eco+Laundry+Detergent+Sheets,Laundry,Laundry Care,Cleaning,120 Loads,1799,20,Loads,120 Loads,4.5,167,30-Day Quality Guarantee,7-day easy returns
organic-cotton-bath-towel,Organic Cotton Bath Towel,Soft organic cotton towel made for daily bath use with high absorbency.,published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Bath+Towel,Bath,Bath Linen,Bath,White,899,10,Color,White,4.6,188,6-Month Warranty,10-day easy returns
organic-cotton-bath-towel,Organic Cotton Bath Towel,Soft organic cotton towel made for daily bath use with high absorbency.,published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Bath+Towel,Bath,Bath Linen,Bath,Sage,949,11,Color,Sage,4.6,188,6-Month Warranty,10-day easy returns
organic-cotton-bath-towel,Organic Cotton Bath Towel,Soft organic cotton towel made for daily bath use with high absorbency.,published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Bath+Towel,Bath,Bath Linen,Bath,Sand,949,11,Color,Sand,4.6,188,6-Month Warranty,10-day easy returns
reusable-coffee-cup,Reusable Coffee Cup,"Lightweight reusable cup for coffee, tea, and commute-friendly beverages.",published,https://placehold.co/1000x1250.png?text=Reusable+Coffee+Cup,Drinkware,Cups & Mugs,Kitchen,250 ml,599,7,Capacity,250 ml,4.5,142,1 Year Warranty,10-day easy returns
reusable-coffee-cup,Reusable Coffee Cup,"Lightweight reusable cup for coffee, tea, and commute-friendly beverages.",published,https://placehold.co/1000x1250.png?text=Reusable+Coffee+Cup,Drinkware,Cups & Mugs,Kitchen,350 ml,699,8,Capacity,350 ml,4.5,142,1 Year Warranty,10-day easy returns
reusable-coffee-cup,Reusable Coffee Cup,"Lightweight reusable cup for coffee, tea, and commute-friendly beverages.",published,https://placehold.co/1000x1250.png?text=Reusable+Coffee+Cup,Drinkware,Cups & Mugs,Kitchen,500 ml,849,9,Capacity,500 ml,4.5,142,1 Year Warranty,10-day easy returns
solar-garden-path-lamp,Solar Garden Path Lamp,"Solar-powered outdoor path lamp for gardens, balconies, and walkways.",published,https://placehold.co/1000x1250.png?text=Solar+Garden+Path+Lamp,Garden,Outdoor Lighting,Outdoor,Pack of 2,1299,14,Pack Size,Pack of 2,4.4,119,1 Year Warranty,10-day easy returns
solar-garden-path-lamp,Solar Garden Path Lamp,"Solar-powered outdoor path lamp for gardens, balconies, and walkways.",published,https://placehold.co/1000x1250.png?text=Solar+Garden+Path+Lamp,Garden,Outdoor Lighting,Outdoor,Pack of 4,2399,27,Pack Size,Pack of 4,4.4,119,1 Year Warranty,10-day easy returns
solar-garden-path-lamp,Solar Garden Path Lamp,"Solar-powered outdoor path lamp for gardens, balconies, and walkways.",published,https://placehold.co/1000x1250.png?text=Solar+Garden+Path+Lamp,Garden,Outdoor Lighting,Outdoor,Pack of 8,4499,50,Pack Size,Pack of 8,4.4,119,1 Year Warranty,10-day easy returns
natural-loofah-body-scrubber,Natural Loofah Body Scrubber,Plant-based loofah scrubber for bath routines and gentle exfoliation.,published,https://placehold.co/1000x1250.png?text=Natural+Loofah+Body+Scrubber,Bath,Bath Accessories,Bath,Pack of 2,299,3,Pack Size,Pack of 2,4.2,73,30-Day Quality Guarantee,Non-returnable (hygiene item)
natural-loofah-body-scrubber,Natural Loofah Body Scrubber,Plant-based loofah scrubber for bath routines and gentle exfoliation.,published,https://placehold.co/1000x1250.png?text=Natural+Loofah+Body+Scrubber,Bath,Bath Accessories,Bath,Pack of 4,499,6,Pack Size,Pack of 4,4.2,73,30-Day Quality Guarantee,Non-returnable (hygiene item)
natural-loofah-body-scrubber,Natural Loofah Body Scrubber,Plant-based loofah scrubber for bath routines and gentle exfoliation.,published,https://placehold.co/1000x1250.png?text=Natural+Loofah+Body+Scrubber,Bath,Bath Accessories,Bath,Pack of 8,899,10,Pack Size,Pack of 8,4.2,73,30-Day Quality Guarantee,Non-returnable (hygiene item)
cork-desk-mat,Cork Desk Mat,Natural cork desk mat that protects your desk and creates a clean workspace surface.,published,https://placehold.co/1000x1250.png?text=Cork+Desk+Mat,Workspace,Desk Accessories,Office,Small,699,8,Size,Small,4.6,154,1 Year Warranty,10-day easy returns
cork-desk-mat,Cork Desk Mat,Natural cork desk mat that protects your desk and creates a clean workspace surface.,published,https://placehold.co/1000x1250.png?text=Cork+Desk+Mat,Workspace,Desk Accessories,Office,Medium,999,11,Size,Medium,4.6,154,1 Year Warranty,10-day easy returns
cork-desk-mat,Cork Desk Mat,Natural cork desk mat that protects your desk and creates a clean workspace surface.,published,https://placehold.co/1000x1250.png?text=Cork+Desk+Mat,Workspace,Desk Accessories,Office,Large,1399,16,Size,Large,4.6,154,1 Year Warranty,10-day easy returns
airtight-bamboo-lid-jar,Airtight Bamboo Lid Jar,"Glass storage jar with bamboo lid for pantry staples, snacks, tea, and coffee.",published,https://placehold.co/1000x1250.png?text=Airtight+Bamboo+Lid+Jar,Storage,Pantry Storage,Kitchen,500 ml,449,5,Capacity,500 ml,4.5,137,1 Year Warranty,10-day easy returns
airtight-bamboo-lid-jar,Airtight Bamboo Lid Jar,"Glass storage jar with bamboo lid for pantry staples, snacks, tea, and coffee.",published,https://placehold.co/1000x1250.png?text=Airtight+Bamboo+Lid+Jar,Storage,Pantry Storage,Kitchen,1 L,699,8,Capacity,1 L,4.5,137,1 Year Warranty,10-day easy returns
airtight-bamboo-lid-jar,Airtight Bamboo Lid Jar,"Glass storage jar with bamboo lid for pantry staples, snacks, tea, and coffee.",published,https://placehold.co/1000x1250.png?text=Airtight+Bamboo+Lid+Jar,Storage,Pantry Storage,Kitchen,Set of 3,1799,20,Capacity,Set of 3,4.5,137,1 Year Warranty,10-day easy returns
jute-storage-basket,Jute Storage Basket,"Handwoven jute basket for shelves, toys, laundry, and home organization.",published,https://placehold.co/1000x1250.png?text=Jute+Storage+Basket,Storage,Home Storage,Lifestyle,Small,699,8,Size,Small,4.4,109,6-Month Warranty,10-day easy returns
jute-storage-basket,Jute Storage Basket,"Handwoven jute basket for shelves, toys, laundry, and home organization.",published,https://placehold.co/1000x1250.png?text=Jute+Storage+Basket,Storage,Home Storage,Lifestyle,Medium,999,11,Size,Medium,4.4,109,6-Month Warranty,10-day easy returns
jute-storage-basket,Jute Storage Basket,"Handwoven jute basket for shelves, toys, laundry, and home organization.",published,https://placehold.co/1000x1250.png?text=Jute+Storage+Basket,Storage,Home Storage,Lifestyle,Large,1499,17,Size,Large,4.4,109,6-Month Warranty,10-day easy returns
